Número,Nome,Disciplinas{3},,,Emails{1,3},,,Notas{1,3}::sum,,
a93241,Francisco Reis Izquierdo,Processamento de Linguagens,Computação Gráfica,Base de Dados,a93241@alunos.uminho.pt,aluno1@hotmail.com,,18,18,17
a89745,António Martins,Processamento de Linguagens,Computação Gráfica,Investigação Operacional,a89745@alunos.uminho.pt,,,15,16,15
a97367,Timótio Tibúrcio Penedo da Rocha Calhau,Base de Dados,MNOL,Sistemas da Computação,a97367@alunos.uminho.pt,timotio@hotmail.com,penedocalhau@gmail.com,11,11,12
a85666,Jacinto Américo Silva,PI,PF,LI1,a85666@alunos.uminho.pt,americo75@gmail.com,,,13,12
a99324,Cristóvão Com o Lombo,História das Artes,Geografia Aplicada,Planeamento,a99324@alunos.uminho.pt,lomboAmerica@hotmail.com,,20,20,20
a77717,Dom Afonso Henriques,História das Artes,Cavaleirismo,Ataque Pessoal,a77717@alunos.uminho.pt,,,10,20,18
a98765,Bartomeu Bartra,Direito 1,Direito 2,Direito 3,a98765@alunos.uminho.pt,,,20,7,7
a12345,John Army Scallop,Base de Dados,CG,LOL,a12345@alunos.uminho.pt,loladas@gmail.com,,17,17,
a1,Primeiro Aluno da UM,Base de Dados,PI,PF,a1@alunos.uminho.pt,primeiroAluno@gmail.com,First@sapo.pt,10,10,10
a98765,António Banderas,Música 1,Filosofia,Álgebra,a98765@alunos.uminho.pt,banderas@hotmail.com,20,20,20
a007,Bond James Bond,Teatro,História das Artes,Contemporâneo,a007@alunos.uminho.pt,007@secret.uk,,0,0,
a1919,Hugo Boss,Gestão I,Gestão II,Gestão III, a1919@alunos.uminho.pt,boss@hotmail.com,,11,,
a93575,Francisco Silva,PF,Computação Gráfica,PI,a93575@alunos.uminho.pt,aluno123@hotmail.com,,18,18,17
a89744,Tiago Martins,Processamento de Linguagens,Cálculo I,Cálculo II,a89744@alunos.uminho.pt,,,15,16,,
a97567,Leandro Silva Roque,Álgebra,MNOL,Sistemas da Computação,a97567@alunos.uminho.pt,leandro75@hotmail.com,roque123@gmail.com,11,11,12
a85612,Jacinto Europa Silva,PI,PF,LI1,a85612@alunos.uminho.pt,europa999@gmail.com,,,13,12,18
a99311,Cristóvão Sem o Lombo,História das Artes,Geologia I,Projetos Civis,a99311@alunos.uminho.pt,lombo1999@hotmail.com,,20,,,
a77444,Dom Dinis,História das Artes,Cavaleirismo,Ataque Pessoal,a77444@alunos.uminho.pt,,,15,10,15
a98717,Rogério André Silva,Lei e Ordem,Direito 2,Lei Avançada,a98717@alunos.uminho.pt,,,20,17,
a12121,Franci Kings Left,Base de Dados,CG,LOL,a12121@alunos.uminho.pt,theBestEver@gmail.com,,20,20,20
a2,Segundo Aluno da UM,Base de Dados,PI,PF,a2@alunos.uminho.pt,segundoAluno@gmail.com,segundo@sapo.pt,10,10,10
a56747,Xico da Tina,Música 1,Filosofia,Ciência da Música,a56747@alunos.uminho.pt,tina@hotmail.com,,19,19,19
a49871,Micael José Augusto,Desporto,Ciências do Desporto,Projetos de Desporto,a49871@alunos.uminho.pt,,,17,17,19
a15721,Filipe Dias,Economia da Europa,Gestão IV,Gestão III, a15721@alunos.uminho.pt,filipe91@hotmail.com,diasFilipe2gmail.com,11,16,18
a93222,Manuel Carlos Pires,PC,Projeção Gráfica,Base de Dados,a93222@alunos.uminho.pt,aluno1669@hotmail.com,,18,18,17
a89747,António Macedo Fernandes,BD,DSS,SO,a89747@alunos.uminho.pt,,,15,16,15
